rowID,SceneID,Season,Episode,SceneNumber,Scenetime,Character,Screentime,Laughtime,laughPercent,meanLaughPercent,sdLaughPercent,zLaughPercent,laughBin,laughBinFull
486,2_12_5,Season2,12,5,450,Situation,NA,5,NA,NA,NA,NA,NA,S
487,2_12_6,Season2,12,6,550,Jerry,150,45,30,31.5546349,23.1302764,-0.0672121,2,2
488,2_12_6,Season2,12,6,550,Elaine,105,35,33.3333333,23.8174973,21.6044789,0.44045663,2,2
489,2_12_6,Season2,12,6,550,Kramer,50,15,30,39.911779,26.3381431,-0.3763279,1,1
490,2_12_7,Season2,12,7,125,Jerry,50,25,50,31.5546349,23.1302764,0.79745546,2,2
491,2_12_8,Season2,12,8,345,Elaine,95,65,68.4210526,23.8174973,21.6044789,2.06455131,3,3
492,2_12_8,Season2,12,8,345,LoveInterest,85,5,5.88235294,16.4504236,21.8596278,-0.4834515,1,1
493,2_12_9,Season2,12,9,1405,Jerry,250,5,2,31.5546349,23.1302764,-1.2777467,1,1
494,2_12_9,Season2,12,9,1405,George,250,35,14,31.3203712,21.9125952,-0.7904299,1,1
495,2_12_9,Season2,12,9,1405,Elaine,220,55,25,23.8174973,21.6044789,0.05473415,2,2
496,2_12_9,Season2,12,9,1405,Kramer,140,10,7.14285714,39.911779,26.3381431,-1.2441622,1,1
